             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           2221417     batch  test095    xswei PD       0:00     11 (Dependency)
           2221416     batch  test095    xswei PD       0:00     11 (Dependency)
           2221415     batch  test095    xswei PD       0:00     11 (Dependency)
    2221379_[0-24]     batch  batch-0  eromero PD       0:00     53 (Priority)
           2221080     batch   1linkM    detar PD       0:00    128 (Priority)
           2220576     batch   HH_5.0 omaralva PD       0:00      1 (Dependency)
           2220575     batch   HH_5.0 omaralva PD       0:00      1 (Dependency)
           2220565     batch  HH_3.75 omaralva PD       0:00      1 (Dependency)
           2220564     batch  HH_3.75 omaralva PD       0:00      1 (Dependency)
           2220263     batch    1link    detar PD       0:00    128 (Priority)
           2220255     batch    1link    detar PD       0:00    128 (Priority)
           2220254     batch    1link    detar PD       0:00    128 (Priority)
           2220252     batch    1link    detar PD       0:00    128 (Priority)
           2220224     batch   HH_2.5 omaralva PD       0:00      1 (Dependency)
           2219876     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2219875     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2219874     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2219873     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2219541     batch hpt_rhol   tjelly PD       0:00    140 (Dependency)
           2219540     batch hpt_rhol   tjelly PD       0:00    140 (Dependency)
           2219539     batch hpt_rhol   tjelly PD       0:00    140 (Dependency)
           2219286     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2219285     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2219229     batch coyo700m   wilson PD       0:00     16 (Dependency)
           2219228     batch coyo700m   wilson PD       0:00     16 (Dependency)
           2219227     batch coyo700m   wilson PD       0:00     16 (Dependency)
           2219096     batch Q52L_mfs margarid PD       0:00     57 (Dependency)
           2219095     batch Q52L_mfs margarid PD       0:00     57 (Dependency)
           2218492     batch CRMHL_TU     mpw2 PD       0:00     46 (Dependency)
           2218028     batch Filt0_al fzabalet PD       0:00     32 (Dependency)
           2218027     batch Filt0_al fzabalet PD       0:00     32 (Dependency)
           2218026     batch Filt0_al fzabalet PD       0:00     32 (Dependency)
           2218025     batch Filt0_al fzabalet PD       0:00     32 (Dependency)
           2218024     batch Filt0_al fzabalet PD       0:00     32 (Dependency)
           2218010     batch Filt0_al fzabalet PD       0:00     32 (Dependency)
           2218009     batch Filt0_al fzabalet PD       0:00     32 (Dependency)
           2218008     batch Filt0_al fzabalet PD       0:00     32 (Dependency)
           2218007     batch Filt0_al fzabalet PD       0:00     32 (Dependency)
           2218006     batch Filt0_al fzabalet PD       0:00     32 (Dependency)
           2217774     batch prod40_N  skhatua PD       0:00    256 (Dependency)
           2217771     batch prod39_N  skhatua PD       0:00    256 (Dependency)
           2217769     batch prod38_N  skhatua PD       0:00    256 (Dependency)
           2217757     batch prod37_N  skhatua PD       0:00    256 (Dependency)
           2217752     batch prod36_N  skhatua PD       0:00    256 (Dependency)
           2217657     batch Q52E_mfs margarid PD       0:00     57 (Dependency)
           2217656     batch Q52E_mfs margarid PD       0:00     57 (Dependency)
           2217647     batch E312D_mf margarid PD       0:00     57 (Dependency)
           2217646     batch E312D_mf margarid PD       0:00     57 (Dependency)
           2217637     batch D92A_mfs margarid PD       0:00     57 (Dependency)
           2217627     batch E312D_Q5 margarid PD       0:00     57 (Dependency)
           2217615     batch Li_mfsd2 margarid PD       0:00     57 (Dependency)
           2217557     batch  d6r2.27    ngoav PD       0:00    200 (Dependency)
           2217556     batch  d6r2.26    ngoav PD       0:00    200 (Dependency)
           2217555     batch  d6r2.25    ngoav PD       0:00    200 (Dependency)
           2217554     batch  d6r2.24    ngoav PD       0:00    200 (Dependency)
           2217553     batch  d6r2.23    ngoav PD       0:00    200 (Dependency)
           2217552     batch  d6r2.22    ngoav PD       0:00    200 (Dependency)
           2217551     batch  d6r2.21    ngoav PD       0:00    200 (Dependency)
           2217550     batch  d6r2.20    ngoav PD       0:00    200 (Dependency)
           2217549     batch  d6r2.19    ngoav PD       0:00    200 (Dependency)
           2217240     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217239     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217238     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217237     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217236     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217235     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217234     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217233     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217232     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217231     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217230     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217229     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217228     batch conjunct  des2037 PD       0:00     25 (Dependency)
           2217215     batch     full  des2037 PD       0:00     50 (Dependency)
           2217214     batch     full  des2037 PD       0:00     50 (Dependency)
           2217213     batch     full  des2037 PD       0:00     50 (Dependency)
           2217212     batch     full  des2037 PD       0:00     50 (Dependency)
           2217211     batch     full  des2037 PD       0:00     50 (Dependency)
           2217210     batch     full  des2037 PD       0:00     50 (Dependency)
           2217209     batch     full  des2037 PD       0:00     50 (Dependency)
           2217208     batch     full  des2037 PD       0:00     50 (Dependency)
           2217207     batch     full  des2037 PD       0:00     50 (Dependency)
           2217206     batch     full  des2037 PD       0:00     50 (Dependency)
           2217205     batch     full  des2037 PD       0:00     50 (Dependency)
           2217204     batch     full  des2037 PD       0:00     50 (Dependency)
           2217203     batch     full  des2037 PD       0:00     50 (Dependency)
           2217202     batch     full  des2037 PD       0:00     50 (Dependency)
           2217201     batch     full  des2037 PD       0:00     50 (Dependency)
           2217200     batch     full  des2037 PD       0:00     50 (Dependency)
           2217188     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217187     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217186     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217185     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217184     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217183     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217182     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217181     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217180     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217179     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217178     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217177     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217176     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217175     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217174     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217173     batch  uu2_uu4  des2037 PD       0:00     25 (Dependency)
           2217001     batch      H76 sreejith PD       0:00     96 (Dependency)
           2217000     batch      H76 sreejith PD       0:00     96 (Dependency)
           2216999     batch      H76 sreejith PD       0:00     96 (Dependency)
           2216998     batch      H76 sreejith PD       0:00     96 (Dependency)
           2216997     batch      H76 sreejith PD       0:00     96 (Dependency)
           2216996     batch      H76 sreejith PD       0:00     96 (Dependency)
           2216995     batch      H76 sreejith PD       0:00     96 (Dependency)
           2216932     batch     POSF sreejith PD       0:00     96 (Dependency)
           2216930     batch     POSF sreejith PD       0:00     96 (Dependency)
